Typo extraction,Typo courte
"Corps de remblais
0/300mm
article 2.2.1 Notice descriptive : Cahier 4",Corps de remblais
Matériaux permettant la portance EV2 de 50 Mpa / Dmax=150mm / C0 Phi30°,Matériaux portance
"Matériaux ZH
Fiche n°6 IG90091",Matériaux ZH
"Matériaux ZI sous eau
Fiche n°7 bis IG90091",Matériaux ZI sous eau
"Matériaux ZI
Fiche n°7 IG90091",Matériaux ZI
"Remblais contigus aux murs
Setra note d'information 34",Ramblais contigus murs
"Blocs techniques
Fiche n°9 IG90091",Blocs techniques
"PST
0/300mm
article 2.2.1 Notice descriptive : Cahier 4",PST0/300mm
"Couche de forme routière
article 2.2.12 Notice descriptive : Cahier 4",Couche forme routière
TOTAL,Tous matériaux
